Cap Spacing (um),Orifice width (um),Flow rate ratio,Capillary Number Inner,Capillary Number Outer ,Observed regime (0= Dripping & 1 = Jetting),Observed droplet diameter (um)
324.3902439,29.26829268,5,1.34E-05,0.004743683,0,324.3902439
324.3902439,29.26829268,4.166666667,1.60E-05,0.336801472,0,353.6585366
324.3902439,29.26829268,3.571428571,1.87E-05,0.336801472,0,375.6097561
324.3902439,29.26829268,3.125,2.14E-05,0.336801472,0,363.4146341
324.3902439,29.26829268,2.777777778,2.41E-05,0.336801472,1,441.4634146
324.3902439,29.26829268,2.5,2.67E-05,0.336801472,1,451.2195122
324.3902439,29.26829268,2.272727273,2.94E-05,0.336801472,1,480.4878049
324.3902439,29.26829268,2.083333333,3.21E-05,0.336801472,1,497.5609756
324.3902439,29.26829268,1.923076923,3.47E-05,0.336801472,0,407.3170732
324.3902439,29.26829268,1.785714286,3.74E-05,0.336801472,1,526.8292683
324.3902439,29.26829268,1.666666667,4.01E-05,0.336801472,1,524.3902439
324.3902439,29.26829268,1.5625,4.28E-05,0.336801472,1,431.7073171
324.3902439,29.26829268,1.470588235,4.54E-05,0.336801472,1,453.6585366
324.3902439,29.26829268,1.388888889,4.81E-05,0.336801472,1,604.8780488
324.3902439,29.26829268,1.315789474,5.08E-05,0.336801472,1,641.4634146
324.3902439,29.26829268,1.25,5.34E-05,0.336801472,1,682.9268293
324.3902439,29.26829268,1.111111111,6.01E-05,0.336801472,1,834.1463415
324.3902439,29.26829268,1,6.68E-05,0.336801472,1,829.2682927
324.3902439,29.26829268,0.909090909,7.35E-05,0.336801472,1,1065.853659
324.3902439,29.26829268,0.833333333,8.02E-05,0.336801472,1,1185.365854
324.3902439,29.26829268,5,1.34E-05,0.336801472,1,382.9268293
324.3902439,29.26829268,6.25,1.07E-05,0.336801472,0,319.5121951
324.3902439,29.26829268,8.333333333,8.02E-06,0.336801472,0,317.0731707
324.3902439,29.26829268,12.5,5.34E-06,0.336801472,0,312.195122
324.3902439,29.26829268,25,2.67E-06,0.336801472,0,302.4390244
324.3902439,29.26829268,50,1.34E-06,0.336801472,0,290.2439024
324.3902439,29.26829268,66.66666667,1.00E-06,0.336801472,0,273.1707317
324.3902439,29.26829268,100,6.68E-07,0.336801472,0,282.9268293
324.3902439,29.26829268,14,6.68E-06,0.006641156,0,270.7317073
324.3902439,29.26829268,14.4,6.68E-06,0.006830903,0,278.0487805
324.3902439,29.26829268,14.8,6.68E-06,0.00702065,0,265.8536585
324.3902439,29.26829268,15.2,6.68E-06,0.007210398,0,265.8536585
324.3902439,29.26829268,15.6,6.68E-06,0.007400145,0,263.4146341
324.3902439,29.26829268,16,6.68E-06,0.007589892,0,260.9756098
324.3902439,29.26829268,16.4,6.68E-06,0.00777964,0,263.4146341
324.3902439,29.26829268,16.8,6.68E-06,0.007969387,0,263.4146341
324.3902439,29.26829268,17.2,6.68E-06,0.008159134,0,253.6585366
324.3902439,29.26829268,17.6,6.68E-06,0.008348882,0,248.7804878
324.3902439,29.26829268,18,6.68E-06,0.008538629,0,248.7804878
324.3902439,29.26829268,19,6.68E-06,0.009012997,0,251.2195122
324.3902439,29.26829268,20,6.68E-06,0.009487365,0,236.5853659
324.3902439,29.26829268,21,6.68E-06,0.009961734,0,236.5853659
324.3902439,29.26829268,22,6.68E-06,0.010436102,0,234.1463415
324.3902439,29.26829268,23,6.68E-06,0.01091047,0,231.7073171
324.3902439,29.26829268,24,6.68E-06,0.011384838,0,219.5121951
324.3902439,29.26829268,25,6.68E-06,0.011859207,0,212.195122
324.3902439,29.26829268,28,6.68E-06,0.013282312,0,207.3170732
324.3902439,29.26829268,30,6.68E-06,0.014231048,0,219.5121951
324.3902439,29.26829268,32,6.68E-06,0.015179785,0,214.6341463
324.3902439,29.26829268,34,6.68E-06,0.016128521,0,209.7560976
324.3902439,29.26829268,36,6.68E-06,0.017077258,0,204.8780488
324.3902439,29.26829268,38,6.68E-06,0.018025994,0,197.5609756
324.3902439,29.26829268,40,6.68E-06,0.018974731,0,190.2439024
324.3902439,29.26829268,42,6.68E-06,0.019923467,0,187.804878
324.3902439,29.26829268,44,6.68E-06,0.020872204,0,185.3658537
324.3902439,29.26829268,46,6.68E-06,0.02182094,0,182.9268293
324.3902439,29.26829268,48,6.68E-06,0.022769677,0,165.8536585
324.3902439,29.26829268,50,6.68E-06,0.023718414,0,165.8536585
324.3902439,29.26829268,60,6.68E-06,0.028462096,0,160.9756098
317.0731707,31.70731707,30,1.34E-06,0.00284621,0,197.5609756
317.0731707,31.70731707,20,2.00E-06,0.00284621,0,217.0731707
317.0731707,31.70731707,15,2.67E-06,0.00284621,0,236.5853659
317.0731707,31.70731707,12,3.34E-06,0.00284621,0,226.8292683
317.0731707,31.70731707,10,4.01E-06,0.00284621,0,239.0243902
317.0731707,31.70731707,8.571428571,4.68E-06,0.00284621,0,248.7804878
317.0731707,31.70731707,7.5,5.34E-06,0.00284621,0,253.6585366
317.0731707,31.70731707,6.666666667,6.01E-06,0.00284621,0,260.9756098
317.0731707,31.70731707,6,6.68E-06,0.00284621,0,285.3658537
317.0731707,31.70731707,5.454545455,7.35E-06,0.00284621,0,285.3658537
317.0731707,31.70731707,5,8.02E-06,0.00284621,1,290.2439024
317.0731707,31.70731707,4.615384615,8.69E-06,0.00284621,1,304.8780488
317.0731707,31.70731707,4.285714286,9.35E-06,0.00284621,1,314.6341463
317.0731707,31.70731707,4,1.00E-05,0.00284621,1,317.0731707
317.0731707,31.70731707,3.75,1.07E-05,0.00284621,1,321.9512195
317.0731707,31.70731707,3.529411765,1.14E-05,0.00284621,1,329.2682927
317.0731707,31.70731707,3.333333333,1.20E-05,0.00284621,1,353.6585366
317.0731707,31.70731707,3.157894737,1.27E-05,0.00284621,1,343.902439
317.0731707,31.70731707,3,1.34E-05,0.00284621,1,348.7804878
317.0731707,31.70731707,2.857142857,1.40E-05,0.00284621,1,346.3414634
317.0731707,31.70731707,2.727272727,1.47E-05,0.00284621,1,353.6585366
317.0731707,31.70731707,2.608695652,1.54E-05,0.00284621,1,368.2926829
317.0731707,31.70731707,2.5,1.60E-05,0.00284621,1,370.7317073
317.0731707,31.70731707,2.4,1.67E-05,0.00284621,1,395.1219512
317.0731707,31.70731707,2.307692308,1.74E-05,0.00284621,1,363.4146341
317.0731707,31.70731707,2.222222222,1.80E-05,0.00284621,1,368.2926829
317.0731707,31.70731707,2.142857143,1.87E-05,0.00284621,1,414.6341463
317.0731707,31.70731707,2.068965517,1.94E-05,0.00284621,1,368.2926829
317.0731707,31.70731707,2,2.00E-05,0.00284621,1,370.7317073
317.0731707,31.70731707,1.935483871,2.07E-05,0.00284621,1,419.5121951
317.0731707,31.70731707,1.875,2.14E-05,0.00284621,1,429.2682927
317.0731707,31.70731707,1.818181818,2.20E-05,0.00284621,1,436.5853659
317.0731707,31.70731707,1.764705882,2.27E-05,0.00284621,1,441.4634146
317.0731707,31.70731707,1.666666667,2.41E-05,0.00284621,1,441.4634146
317.0731707,31.70731707,1.578947368,2.54E-05,0.00284621,1,441.4634146
317.0731707,31.70731707,1.5,2.67E-05,0.00284621,1,453.6585366
317.0731707,31.70731707,1.428571429,2.81E-05,0.00284621,1,409.7560976
317.0731707,31.70731707,1.363636364,2.94E-05,0.00284621,1,412.195122
317.0731707,31.70731707,1.304347826,3.07E-05,0.00284621,1,426.8292683
317.0731707,31.70731707,1.25,3.21E-05,0.00284621,1,421.9512195
317.0731707,31.70731707,1.2,3.34E-05,0.00284621,1,424.3902439
317.0731707,31.70731707,1.153846154,3.47E-05,0.00284621,1,439.0243902
317.0731707,31.70731707,1.111111111,3.61E-05,0.00284621,1,514.6341463
317.0731707,31.70731707,1,4.01E-05,0.00284621,1,551.2195122
317.0731707,31.70731707,0.857142857,4.68E-05,0.00284621,1,663.4146341
317.0731707,31.70731707,0.75,5.34E-05,0.00284621,1,780.4878049
312.195122,31.70731707,40,1.34E-06,0.003794946,0,224.3902439
312.195122,31.70731707,20,2.67E-06,0.003794946,0,234.1463415
312.195122,31.70731707,13.33333333,4.01E-06,0.003794946,0,243.902439
312.195122,31.70731707,10,5.34E-06,0.003794946,0,246.3414634
312.195122,31.70731707,8,6.68E-06,0.003794946,0,251.2195122
